instrument,uuid4,file_path,test_train_val,new_file_path,effect_applied,wet_dry,parameter,parameter_value,split
piano,ffa4df14-5fec-5eae-f37a-a1f13aeb63ae,./Medley-solos-DB/Medley-solos-DB_test-4_ffa4df14-5fec-5eae-f37a-a1f13aeb63ae.wav,train,dry\dry_ffa4df14-5fec-5eae-f37a-a1f13aeb63ae.wav,dry,1.0000,none,{},train
female singer,dafbda21-b0cc-5af9-f902-b50e384081b1,./Medley-solos-DB/Medley-solos-DB_training-2_dafbda21-b0cc-5af9-f902-b50e384081b1.wav,train,dry\dry_dafbda21-b0cc-5af9-f902-b50e384081b1.wav,dry,1.0000,none,{},train
piano,c05757a0-e6d2-542b-f130-7e3d60f43de4,./Medley-solos-DB/Medley-solos-DB_validation-4_c05757a0-e6d2-542b-f130-7e3d60f43de4.wav,train,dry\dry_c05757a0-e6d2-542b-f130-7e3d60f43de4.wav,dry,1.0000,none,{},train
trumpet,91720aa4-65b4-5ff6-f7fb-8a084f0595b6,./Medley-solos-DB/Medley-solos-DB_training-6_91720aa4-65b4-5ff6-f7fb-8a084f0595b6.wav,train,dry\dry_91720aa4-65b4-5ff6-f7fb-8a084f0595b6.wav,dry,1.0000,none,{},train
piano,e0ac3776-a76f-5e44-fe7a-a7ee0ef34d9e,./Medley-solos-DB/Medley-solos-DB_training-4_e0ac3776-a76f-5e44-fe7a-a7ee0ef34d9e.wav,train,dry\dry_e0ac3776-a76f-5e44-fe7a-a7ee0ef34d9e.wav,dry,1.0000,none,{},train
female singer,297f60bf-11bb-5a10-f468-fb41692388d5,./Medley-solos-DB/Medley-solos-DB_test-2_297f60bf-11bb-5a10-f468-fb41692388d5.wav,train,dry\dry_297f60bf-11bb-5a10-f468-fb41692388d5.wav,dry,1.0000,none,{},train
female singer,a407b95c-500f-5c76-f1cc-96c935a8dc34,./Medley-solos-DB/Medley-solos-DB_validation-2_a407b95c-500f-5c76-f1cc-96c935a8dc34.wav,train,dry\dry_a407b95c-500f-5c76-f1cc-96c935a8dc34.wav,dry,1.0000,none,{},train
violin,fcb4c8e4-0512-50b0-f404-18411c2ff952,./Medley-solos-DB/Medley-solos-DB_validation-7_fcb4c8e4-0512-50b0-f404-18411c2ff952.wav,train,dry\dry_fcb4c8e4-0512-50b0-f404-18411c2ff952.wav,dry,1.0000,none,{},train
flute,31babfa8-11d1-589a-fdfb-a7a0a6b70a32,./Medley-solos-DB/Medley-solos-DB_test-3_31babfa8-11d1-589a-fdfb-a7a0a6b70a32.wav,train,dry\dry_31babfa8-11d1-589a-fdfb-a7a0a6b70a32.wav,dry,1.0000,none,{},train
flute,4ee40f4b-e4df-5b09-f691-ce4be42c555d,./Medley-solos-DB/Medley-solos-DB_training-3_4ee40f4b-e4df-5b09-f691-ce4be42c555d.wav,train,dry\dry_4ee40f4b-e4df-5b09-f691-ce4be42c555d.wav,dry,1.0000,none,{},train
piano,cc152183-2643-5cc5-f9ed-8186e7d51235,./Medley-solos-DB/Medley-solos-DB_training-4_cc152183-2643-5cc5-f9ed-8186e7d51235.wav,train,dry\dry_cc152183-2643-5cc5-f9ed-8186e7d51235.wav,dry,1.0000,none,{},train
piano,9dc3d3cd-cdab-5ba0-f42e-53b910b138c3,./Medley-solos-DB/Medley-solos-DB_training-4_9dc3d3cd-cdab-5ba0-f42e-53b910b138c3.wav,train,dry\dry_9dc3d3cd-cdab-5ba0-f42e-53b910b138c3.wav,dry,1.0000,none,{},train
violin,d7c74007-f570-5088-fbe0-393d069be05d,./Medley-solos-DB/Medley-solos-DB_test-7_d7c74007-f570-5088-fbe0-393d069be05d.wav,train,dry\dry_d7c74007-f570-5088-fbe0-393d069be05d.wav,dry,1.0000,none,{},train
tenor saxophone,ddb3433e-8638-5427-fd06-2c5d89da03c7,./Medley-solos-DB/Medley-solos-DB_training-5_ddb3433e-8638-5427-fd06-2c5d89da03c7.wav,train,dry\dry_ddb3433e-8638-5427-fd06-2c5d89da03c7.wav,dry,1.0000,none,{},train
flute,338bff0b-7250-5b4b-f415-5108de960d86,./Medley-solos-DB/Medley-solos-DB_test-3_338bff0b-7250-5b4b-f415-5108de960d86.wav,train,dry\dry_338bff0b-7250-5b4b-f415-5108de960d86.wav,dry,1.0000,none,{},train
piano,5935e4d6-f796-510f-ff9c-5e48f1197941,./Medley-solos-DB/Medley-solos-DB_training-4_5935e4d6-f796-510f-ff9c-5e48f1197941.wav,train,dry\dry_5935e4d6-f796-510f-ff9c-5e48f1197941.wav,dry,1.0000,none,{},train
flute,38417568-d3dd-5b26-fb4d-5e9674167ed6,./Medley-solos-DB/Medley-solos-DB_test-3_38417568-d3dd-5b26-fb4d-5e9674167ed6.wav,train,dry\dry_38417568-d3dd-5b26-fb4d-5e9674167ed6.wav,dry,1.0000,none,{},train
violin,958fe2cf-11fe-5e5b-fa97-903ba06a58b9,./Medley-solos-DB/Medley-solos-DB_training-7_958fe2cf-11fe-5e5b-fa97-903ba06a58b9.wav,train,dry\dry_958fe2cf-11fe-5e5b-fa97-903ba06a58b9.wav,dry,1.0000,none,{},train
violin,5e7fe126-579e-5f44-fc9d-e5f977a64d6f,./Medley-solos-DB/Medley-solos-DB_test-7_5e7fe126-579e-5f44-fc9d-e5f977a64d6f.wav,train,dry\dry_5e7fe126-579e-5f44-fc9d-e5f977a64d6f.wav,dry,1.0000,none,{},train
piano,d2ca785b-d584-508f-f076-31bbb4de842c,./Medley-solos-DB/Medley-solos-DB_training-4_d2ca785b-d584-508f-f076-31bbb4de842c.wav,train,dry\dry_d2ca785b-d584-508f-f076-31bbb4de842c.wav,dry,1.0000,none,{},train
violin,cd818885-5455-5bcf-ff54-8b1b248bc880,./Medley-solos-DB/Medley-solos-DB_validation-7_cd818885-5455-5bcf-ff54-8b1b248bc880.wav,train,dry\dry_cd818885-5455-5bcf-ff54-8b1b248bc880.wav,dry,1.0000,none,{},train
female singer,3eb23680-7274-5adc-fb7d-2aa35b9c98cf,./Medley-solos-DB/Medley-solos-DB_test-2_3eb23680-7274-5adc-fb7d-2aa35b9c98cf.wav,train,dry\dry_3eb23680-7274-5adc-fb7d-2aa35b9c98cf.wav,dry,1.0000,none,{},train
flute,753449f7-fb2e-588b-faac-205f62a8b244,./Medley-solos-DB/Medley-solos-DB_test-3_753449f7-fb2e-588b-faac-205f62a8b244.wav,train,dry\dry_753449f7-fb2e-588b-faac-205f62a8b244.wav,dry,1.0000,none,{},train
flute,67ad8a5f-0f08-5cf9-feed-42891bd88287,./Medley-solos-DB/Medley-solos-DB_test-3_67ad8a5f-0f08-5cf9-feed-42891bd88287.wav,train,dry\dry_67ad8a5f-0f08-5cf9-feed-42891bd88287.wav,dry,1.0000,none,{},train
female singer,b7b50076-f4e8-5b29-f32b-7ed52943e2b0,./Medley-solos-DB/Medley-solos-DB_training-2_b7b50076-f4e8-5b29-f32b-7ed52943e2b0.wav,train,dry\dry_b7b50076-f4e8-5b29-f32b-7ed52943e2b0.wav,dry,1.0000,none,{},train
piano,06f9b9d3-3a1c-52ff-fd2d-8026f18cef1f,./Medley-solos-DB/Medley-solos-DB_test-4_06f9b9d3-3a1c-52ff-fd2d-8026f18cef1f.wav,train,dry\dry_06f9b9d3-3a1c-52ff-fd2d-8026f18cef1f.wav,dry,1.0000,none,{},train
piano,72f2e1f7-53db-5e19-f5f9-fa31fefa76bd,./Medley-solos-DB/Medley-solos-DB_training-4_72f2e1f7-53db-5e19-f5f9-fa31fefa76bd.wav,train,dry\dry_72f2e1f7-53db-5e19-f5f9-fa31fefa76bd.wav,dry,1.0000,none,{},train
tenor saxophone,dd0c8567-725c-5022-fccc-d56a11876548,./Medley-solos-DB/Medley-solos-DB_training-5_dd0c8567-725c-5022-fccc-d56a11876548.wav,train,dry\dry_dd0c8567-725c-5022-fccc-d56a11876548.wav,dry,1.0000,none,{},train
piano,d1c2750a-7857-5ba7-f5c1-c36bccda7a86,./Medley-solos-DB/Medley-solos-DB_test-4_d1c2750a-7857-5ba7-f5c1-c36bccda7a86.wav,train,dry\dry_d1c2750a-7857-5ba7-f5c1-c36bccda7a86.wav,dry,1.0000,none,{},train
piano,dfb83eec-f20a-5e45-fa2b-88888d5c128e,./Medley-solos-DB/Medley-solos-DB_training-4_dfb83eec-f20a-5e45-fa2b-88888d5c128e.wav,train,dry\dry_dfb83eec-f20a-5e45-fa2b-88888d5c128e.wav,dry,1.0000,none,{},train
violin,a5a07395-f38e-5075-fb6f-5859f57e1136,./Medley-solos-DB/Medley-solos-DB_test-7_a5a07395-f38e-5075-fb6f-5859f57e1136.wav,train,dry\dry_a5a07395-f38e-5075-fb6f-5859f57e1136.wav,dry,1.0000,none,{},train
piano,442010bd-a429-5fcb-f064-5262a7070e41,./Medley-solos-DB/Medley-solos-DB_test-4_442010bd-a429-5fcb-f064-5262a7070e41.wav,train,dry\dry_442010bd-a429-5fcb-f064-5262a7070e41.wav,dry,1.0000,none,{},train
violin,730efa80-a141-5d57-f2dc-3b1fd88a9e91,./Medley-solos-DB/Medley-solos-DB_test-7_730efa80-a141-5d57-f2dc-3b1fd88a9e91.wav,train,dry\dry_730efa80-a141-5d57-f2dc-3b1fd88a9e91.wav,dry,1.0000,none,{},train
flute,67f41918-0712-50a5-f134-8ef6a2d8fe6f,./Medley-solos-DB/Medley-solos-DB_test-3_67f41918-0712-50a5-f134-8ef6a2d8fe6f.wav,train,dry\dry_67f41918-0712-50a5-f134-8ef6a2d8fe6f.wav,dry,1.0000,none,{},train
piano,e522ce8d-776e-50b2-fffe-8692ca54d685,./Medley-solos-DB/Medley-solos-DB_training-4_e522ce8d-776e-50b2-fffe-8692ca54d685.wav,train,dry\dry_e522ce8d-776e-50b2-fffe-8692ca54d685.wav,dry,1.0000,none,{},train
violin,5d4ce49a-64e9-504a-f423-65d2619fe018,./Medley-solos-DB/Medley-solos-DB_test-7_5d4ce49a-64e9-504a-f423-65d2619fe018.wav,train,dry\dry_5d4ce49a-64e9-504a-f423-65d2619fe018.wav,dry,1.0000,none,{},train
piano,2bf6abbc-82bd-5411-fc2e-d3fa2952f932,./Medley-solos-DB/Medley-solos-DB_test-4_2bf6abbc-82bd-5411-fc2e-d3fa2952f932.wav,train,dry\dry_2bf6abbc-82bd-5411-fc2e-d3fa2952f932.wav,dry,1.0000,none,{},train
flute,925d9607-4e77-5214-fc8e-68c208d7c11c,./Medley-solos-DB/Medley-solos-DB_test-3_925d9607-4e77-5214-fc8e-68c208d7c11c.wav,train,dry\dry_925d9607-4e77-5214-fc8e-68c208d7c11c.wav,dry,1.0000,none,{},train
flute,8a035360-c707-524d-fd6d-7768f22dcf50,./Medley-solos-DB/Medley-solos-DB_test-3_8a035360-c707-524d-fd6d-7768f22dcf50.wav,train,dry\dry_8a035360-c707-524d-fd6d-7768f22dcf50.wav,dry,1.0000,none,{},train
flute,a2ce29e0-96c4-5da0-fb45-803e489f8b6a,./Medley-solos-DB/Medley-solos-DB_test-3_a2ce29e0-96c4-5da0-fb45-803e489f8b6a.wav,train,dry\dry_a2ce29e0-96c4-5da0-fb45-803e489f8b6a.wav,dry,1.0000,none,{},train
piano,5fdb79a3-a2a2-5c72-f5b1-6ca02eab6e4f,./Medley-solos-DB/Medley-solos-DB_test-4_5fdb79a3-a2a2-5c72-f5b1-6ca02eab6e4f.wav,train,dry\dry_5fdb79a3-a2a2-5c72-f5b1-6ca02eab6e4f.wav,dry,1.0000,none,{},train
flute,7bd36cf5-3288-5929-f38c-9caab767c1e1,./Medley-solos-DB/Medley-solos-DB_test-3_7bd36cf5-3288-5929-f38c-9caab767c1e1.wav,train,dry\dry_7bd36cf5-3288-5929-f38c-9caab767c1e1.wav,dry,1.0000,none,{},train
female singer,5050ffd3-5907-5ac5-fe80-6c6d50cc5097,./Medley-solos-DB/Medley-solos-DB_test-2_5050ffd3-5907-5ac5-fe80-6c6d50cc5097.wav,train,dry\dry_5050ffd3-5907-5ac5-fe80-6c6d50cc5097.wav,dry,1.0000,none,{},train
flute,9e2b2a09-3632-5894-f300-f27a381c5a43,./Medley-solos-DB/Medley-solos-DB_test-3_9e2b2a09-3632-5894-f300-f27a381c5a43.wav,train,dry\dry_9e2b2a09-3632-5894-f300-f27a381c5a43.wav,dry,1.0000,none,{},train
clarinet,320f7b02-5eb3-5a29-f2fc-ea35f28e0310,./Medley-solos-DB/Medley-solos-DB_test-0_320f7b02-5eb3-5a29-f2fc-ea35f28e0310.wav,train,dry\dry_320f7b02-5eb3-5a29-f2fc-ea35f28e0310.wav,dry,1.0000,none,{},train
piano,a4b23190-b847-5abf-f167-a47e9b073887,./Medley-solos-DB/Medley-solos-DB_validation-4_a4b23190-b847-5abf-f167-a47e9b073887.wav,train,dry\dry_a4b23190-b847-5abf-f167-a47e9b073887.wav,dry,1.0000,none,{},train
female singer,64317cf5-add8-522b-f396-5520be4a468c,./Medley-solos-DB/Medley-solos-DB_validation-2_64317cf5-add8-522b-f396-5520be4a468c.wav,train,dry\dry_64317cf5-add8-522b-f396-5520be4a468c.wav,dry,1.0000,none,{},train
flute,30f2a96c-de95-53e3-f1df-526ed4a0b411,./Medley-solos-DB/Medley-solos-DB_test-3_30f2a96c-de95-53e3-f1df-526ed4a0b411.wav,train,dry\dry_30f2a96c-de95-53e3-f1df-526ed4a0b411.wav,dry,1.0000,none,{},train
piano,d80f5ef6-86b8-5eb5-f626-64a23d439392,./Medley-solos-DB/Medley-solos-DB_test-4_d80f5ef6-86b8-5eb5-f626-64a23d439392.wav,train,dry\dry_d80f5ef6-86b8-5eb5-f626-64a23d439392.wav,dry,1.0000,none,{},train
flute,230010eb-d5aa-5172-f93c-7efd7382410d,./Medley-solos-DB/Medley-solos-DB_test-3_230010eb-d5aa-5172-f93c-7efd7382410d.wav,train,dry\dry_230010eb-d5aa-5172-f93c-7efd7382410d.wav,dry,1.0000,none,{},train
piano,5a25db36-b4b1-59e2-fb00-3c8cb7d87ca6,./Medley-solos-DB/Medley-solos-DB_validation-4_5a25db36-b4b1-59e2-fb00-3c8cb7d87ca6.wav,train,dry\dry_5a25db36-b4b1-59e2-fb00-3c8cb7d87ca6.wav,dry,1.0000,none,{},train
piano,b30ea741-e5b0-577d-faf2-2854c74c85a7,./Medley-solos-DB/Medley-solos-DB_training-4_b30ea741-e5b0-577d-faf2-2854c74c85a7.wav,train,dry\dry_b30ea741-e5b0-577d-faf2-2854c74c85a7.wav,dry,1.0000,none,{},train
female singer,49191c52-5383-53e6-f257-d266893098ed,./Medley-solos-DB/Medley-solos-DB_test-2_49191c52-5383-53e6-f257-d266893098ed.wav,train,dry\dry_49191c52-5383-53e6-f257-d266893098ed.wav,dry,1.0000,none,{},train
violin,48d5d4ee-c026-5ced-f9ba-b09621463978,./Medley-solos-DB/Medley-solos-DB_training-7_48d5d4ee-c026-5ced-f9ba-b09621463978.wav,train,dry\dry_48d5d4ee-c026-5ced-f9ba-b09621463978.wav,dry,1.0000,none,{},train
piano,b5757290-2895-5d6b-f5ff-8e899de62097,./Medley-solos-DB/Medley-solos-DB_test-4_b5757290-2895-5d6b-f5ff-8e899de62097.wav,train,dry\dry_b5757290-2895-5d6b-f5ff-8e899de62097.wav,dry,1.0000,none,{},train
piano,c7706fd8-abca-5ed6-fb4d-ec1e1ab0e6ea,./Medley-solos-DB/Medley-solos-DB_test-4_c7706fd8-abca-5ed6-fb4d-ec1e1ab0e6ea.wav,train,dry\dry_c7706fd8-abca-5ed6-fb4d-ec1e1ab0e6ea.wav,dry,1.0000,none,{},train
piano,59f3cbad-ffa3-5497-f6a3-b12b497f4202,./Medley-solos-DB/Medley-solos-DB_test-4_59f3cbad-ffa3-5497-f6a3-b12b497f4202.wav,train,dry\dry_59f3cbad-ffa3-5497-f6a3-b12b497f4202.wav,dry,1.0000,none,{},train
piano,d781170c-f479-5fa2-f35c-af707c85784c,./Medley-solos-DB/Medley-solos-DB_test-4_d781170c-f479-5fa2-f35c-af707c85784c.wav,train,dry\dry_d781170c-f479-5fa2-f35c-af707c85784c.wav,dry,1.0000,none,{},train
violin,f356bda8-3429-53b8-ffbf-17be9a53b6f4,./Medley-solos-DB/Medley-solos-DB_test-7_f356bda8-3429-53b8-ffbf-17be9a53b6f4.wav,train,dry\dry_f356bda8-3429-53b8-ffbf-17be9a53b6f4.wav,dry,1.0000,none,{},train
flute,0a303780-7f43-569c-f8f8-d5ca96c86ce3,./Medley-solos-DB/Medley-solos-DB_test-3_0a303780-7f43-569c-f8f8-d5ca96c86ce3.wav,train,dry\dry_0a303780-7f43-569c-f8f8-d5ca96c86ce3.wav,dry,1.0000,none,{},train
flute,2cedeac7-f232-5f0f-f626-15f1813d10b8,./Medley-solos-DB/Medley-solos-DB_test-3_2cedeac7-f232-5f0f-f626-15f1813d10b8.wav,train,dry\dry_2cedeac7-f232-5f0f-f626-15f1813d10b8.wav,dry,1.0000,none,{},train
violin,ab5ff4d1-76a9-5439-fa33-c1f30cfd40d6,./Medley-solos-DB/Medley-solos-DB_test-7_ab5ff4d1-76a9-5439-fa33-c1f30cfd40d6.wav,train,dry\dry_ab5ff4d1-76a9-5439-fa33-c1f30cfd40d6.wav,dry,1.0000,none,{},train
flute,998380a0-460b-5039-ffb6-e03f80d0d592,./Medley-solos-DB/Medley-solos-DB_test-3_998380a0-460b-5039-ffb6-e03f80d0d592.wav,train,dry\dry_998380a0-460b-5039-ffb6-e03f80d0d592.wav,dry,1.0000,none,{},train
female singer,2817880c-2cab-56fd-fce1-f86da2b287f7,./Medley-solos-DB/Medley-solos-DB_test-2_2817880c-2cab-56fd-fce1-f86da2b287f7.wav,train,dry\dry_2817880c-2cab-56fd-fce1-f86da2b287f7.wav,dry,1.0000,none,{},train
piano,d25277c6-d5f1-5151-f85f-5a95d0e9cd74,./Medley-solos-DB/Medley-solos-DB_test-4_d25277c6-d5f1-5151-f85f-5a95d0e9cd74.wav,train,dry\dry_d25277c6-d5f1-5151-f85f-5a95d0e9cd74.wav,dry,1.0000,none,{},train
